WinningCards	DiscardedCards:0	DiscardedCards:1	ActionsPlayedWin:0
Baron.opp	5	5	Guard,Guard
Baron.opp	2	2	
Guard	9	9	
Baron	2	2	
Guard	2	2	
Baron	10	10	Baron,Guard,King,Handmaid
Baron	7	7	
Baron.opp	9	9	
Guard	11	11	
Baron.opp	5	5	Guard,Guard
Baron.opp	2	2	
Guard	4	4	
Baron	2	2	
Baron	8	8	
Baron.opp	8	8	Guard,Guard,Priest
Baron	7	7	
Guard	5	5	Guard,Princess
Guard	11	11	Guard,Guard,Handmaid,Prince,Guard
Priest.end	10	10	Baron,Guard,King,Prince,Prince
Guard	5	5	
Baron	5	5	Baron,Guard
Baron	8	8	Baron,Princess,Handmaid,Guard
Baron.opp	2	2	
Guard	7	7	
Baron	2	2	
Baron.opp	6	6	Countess,Handmaid
Guard	6	6	
Guard	6	6	
Baron	6	6	
Guard	6	6	Guard,Priest,Prince
Baron	8	8	Baron,Prince,Prince
Guard	4	4	Guard,Priest
Baron.opp	7	7	Priest,Priest,Guard
Baron.opp	3	3	Guard
Guard	11	11	Guard,Priest,Priest,Prince,Handmaid,Guard
Guard	2	2	Guard
Baron.opp	2	2	
Guard	6	6	
Baron.opp	8	8	
Guard	6	6	Guard,King,Guard
Baron	6	6	Baron,Handmaid,Princess
Guard	6	6	
Prince.end	10	10	
Baron	8	8	
Baron	5	5	Baron,Guard
Guard	2	2	Guard
Guard	6	6	Guard,Handmaid,Guard
Baron	2	2	Baron
Baron.opp	2	2	
Baron.opp	4	4	Countess
Guard	9	9	Guard,Prince,Handmaid,Guard
Guard	6	6	Guard,Countess,Guard
Baron.opp	6	6	
Baron	10	10	
Baron	2	2	
Baron	8	8	
Guard	4	4	
Baron.opp	5	5	
Guard	5	5	
Guard	9	9	
Baron	7	7	Baron,Princess,Guard
Baron.opp	6	6	
Princess.end	10	10	Handmaid,Baron,Guard,Prince,Priest
Guard	3	3	
Prince.opp	10	10	Handmaid,Priest,Guard,Priest
Baron	7	7	
Baron	8	8	Baron,Priest,Guard
Guard	11	11	
Baron.opp	3	3	
Baron.opp	11	11	
Baron	7	7	Baron,Guard,King
Prince.end	10	10	
Guard	2	2	
Baron	2	2	
Guard	7	7	Guard,Guard,Priest
Baron.opp	7	7	Priest,Priest,Guard
Baron	3	3	
