GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Barghest Minion 1,Hero 1,Barghest Minion 3,Barghest Minion 2,Hero 3,Hero 2,Hero 4,Goblin Minion 3,Goblin Minion 4,Goblin Minion 1,Goblin Minion 2,Goblin Master,Barghest Master
-131927630,Descent2e,1,ROUND_OVER,141,10,4,23,,,,,,,,,,,,,
-131927630,Descent2e,2,ROUND_OVER,197,10,4,23,,Tomble Burrowell (2483072) defeated by Barghest minion 2 (2483171),,,,,,,,,,,
-131927630,Descent2e,3,ROUND_OVER,236,10,4,23,,,,,,,,,,,,,
-131927630,Descent2e,4,GAME_OVER,237,0,4,23,,,,,,,,,,,,,
625973931,Descent2e,0,ROUND_OVER,131,10,4,24,,,,,,,,,,,,,
625973931,Descent2e,1,ROUND_OVER,170,10,4,24,,,,,,,,,,,,,
625973931,Descent2e,2,ROUND_OVER,202,9,4,24,,,,,,,,,,,,,Barghest master (2605852) defeated by Jain Fairwood (2605774)
625973931,Descent2e,3,ROUND_OVER,237,8,4,24,Barghest minion 1 (2605862) defeated by Syndrael (2605801),,,,,,,,,,,,
625973931,Descent2e,4,GAME_OVER,238,0,4,24,,,,,,,,,,,,,
-2122080756,Descent2e,0,ROUND_OVER,109,10,4,25,,,,,,,,,,,,,
-2122080756,Descent2e,1,ROUND_OVER,149,10,4,25,,,,,,,,,,,,,
-2122080756,Descent2e,2,ROUND_OVER,194,9,4,25,Barghest minion 1 (2726296) defeated by Leoric of the Book (2726221),,,,,,,,,,,,
-2122080756,Descent2e,3,ROUND_OVER,238,9,4,25,,,,,,,,,,,,,
-2122080756,Descent2e,4,GAME_OVER,239,0,4,25,,,,,,,,,,,,,
-12038281,Descent2e,0,ROUND_OVER,121,10,4,26,,,,,,,,,,,,,
-12038281,Descent2e,1,ROUND_OVER,160,9,4,26,Barghest minion 1 (2859326) defeated by Syndrael (2859237),,,,,,,,,,,,
-12038281,Descent2e,2,ROUND_OVER,178,8,4,26,Barghest minion 1 (2859336) defeated by Avric Albright (2859250),,,,,,,,,,,,
-12038281,Descent2e,3,GAME_OVER,186,1,4,26,,,,,,,,,,,,,Barghest master (2859316) defeated by Avric Albright (2859250)
-1249517663,Descent2e,0,ROUND_OVER,96,10,4,27,,,,,,,,,,,,,Barghest master (2859316) defeated by Avric Albright (2859250)
-1249517663,Descent2e,1,ROUND_OVER,153,10,4,27,,,,,,,,,,,,,
-1249517663,Descent2e,2,ROUND_OVER,203,10,4,27,,,,,,,,,,,,,
-1249517663,Descent2e,3,ROUND_OVER,242,10,4,27,,,,,,,,,,,,,
-1249517663,Descent2e,4,GAME_OVER,244,0,4,27,,,,,,,,,,,,,
2136666787,Descent2e,0,ROUND_OVER,114,10,4,28,,,,,,,,,,,,,
2136666787,Descent2e,1,ROUND_OVER,167,10,4,28,,,,,,,,,,,,,
2136666787,Descent2e,2,ROUND_OVER,217,10,4,28,,,,,,,,,,,,,
2136666787,Descent2e,3,ROUND_OVER,263,10,4,28,,,,,,,,,,,,,
2136666787,Descent2e,4,GAME_OVER,265,0,4,28,,,,,,,,,,,,,
-546977367,Descent2e,0,ROUND_OVER,87,10,4,29,,,,,,,,,,,,,
-546977367,Descent2e,1,ROUND_OVER,139,10,4,29,,,,,,,,,,,,,
-546977367,Descent2e,2,ROUND_OVER,182,9,4,29,Barghest minion 1 (3226556) defeated by Ashrian (3226494),,,,,,,,,,,,
-546977367,Descent2e,3,ROUND_OVER,205,8,4,29,Barghest minion 1 (3226566) defeated by Tomble Burrowell (3226480),,,,,,,,,,,,
-546977367,Descent2e,4,GAME_OVER,210,0,4,29,,,,,,,,,,,,,Barghest master (3226546) defeated by Grisban the Thirsty (3226467)
1617417385,Descent2e,0,ROUND_OVER,99,9,4,30,,,,,,,,,,Goblin Archer minion 1 (3323711) defeated by Grisban the Thirsty (3323690),,,Barghest master (3226546) defeated by Grisban the Thirsty (3226467)
1617417385,Descent2e,1,ROUND_OVER,148,10,4,30,,,,,,,,,,,,,
