GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,WinnerType
-652750784,Descent2e,4,GAME_OVER,193,2,4,205,hero
-1438181952,Descent2e,4,GAME_OVER,252,0,4,206,overlord
-103583923,Descent2e,4,GAME_OVER,244,0,4,207,overlord
-264533670,Descent2e,5,GAME_OVER,280,0,4,208,overlord
-2003881654,Descent2e,5,GAME_OVER,324,0,4,209,overlord
1194976140,Descent2e,4,GAME_OVER,220,0,4,210,overlord
740515828,Descent2e,4,GAME_OVER,287,0,4,211,overlord
-1981556469,Descent2e,4,GAME_OVER,269,0,4,212,overlord
-115718702,Descent2e,4,GAME_OVER,219,0,4,213,overlord
-1324315614,Descent2e,4,GAME_OVER,234,0,4,214,overlord
595581609,Descent2e,4,GAME_OVER,246,0,4,215,overlord
-391485289,Descent2e,4,GAME_OVER,227,0,4,216,overlord
760754694,Descent2e,4,GAME_OVER,229,0,4,217,overlord
-1277080294,Descent2e,4,GAME_OVER,268,0,4,218,overlord
-1578106088,Descent2e,4,GAME_OVER,228,0,4,219,overlord
223861731,Descent2e,4,GAME_OVER,239,0,4,220,overlord
1602152035,Descent2e,4,GAME_OVER,274,0,4,221,overlord
-683947923,Descent2e,3,GAME_OVER,206,1,4,222,hero
138923296,Descent2e,4,GAME_OVER,259,0,4,223,overlord
-1107104144,Descent2e,4,GAME_OVER,191,0,4,224,hero
916426565,Descent2e,4,GAME_OVER,228,0,4,225,overlord
-1124368768,Descent2e,4,GAME_OVER,229,0,4,226,overlord
-1021998975,Descent2e,4,GAME_OVER,205,0,4,227,hero
883468036,Descent2e,4,GAME_OVER,216,0,4,228,overlord
-1358304835,Descent2e,5,GAME_OVER,293,0,4,229,overlord
1564042337,Descent2e,4,GAME_OVER,260,0,4,230,overlord
1546646484,Descent2e,5,GAME_OVER,230,0,4,231,overlord
1319215497,Descent2e,4,GAME_OVER,195,0,4,232,overlord
-2049994330,Descent2e,4,GAME_OVER,274,0,4,233,overlord
399120975,Descent2e,5,GAME_OVER,301,0,4,234,overlord
203295418,Descent2e,4,GAME_OVER,247,0,4,235,overlord
-385379532,Descent2e,4,GAME_OVER,250,0,4,236,overlord
