GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerIdx
-1076522228,Descent2e,3,GAME_OVER,189,2,4,422,1
1472971194,Descent2e,4,GAME_OVER,257,0,4,423,0
-1777761885,Descent2e,4,GAME_OVER,263,0,4,424,0
1912826064,Descent2e,4,GAME_OVER,226,0,4,425,0
-1771087831,Descent2e,4,GAME_OVER,217,0,4,426,0
2007798892,Descent2e,4,GAME_OVER,231,0,4,427,0
-535364207,Descent2e,4,GAME_OVER,253,0,4,428,0
2041377446,Descent2e,4,GAME_OVER,255,0,4,429,0
2056949890,Descent2e,4,GAME_OVER,266,0,4,430,0
-536737766,Descent2e,4,GAME_OVER,285,0,4,431,0
1206104033,Descent2e,4,GAME_OVER,220,0,4,432,0
-98237223,Descent2e,4,GAME_OVER,234,0,4,433,0
940001328,Descent2e,4,GAME_OVER,239,0,4,434,0
-2093316461,Descent2e,4,GAME_OVER,224,0,4,435,0
619642517,Descent2e,5,GAME_OVER,260,0,4,436,0
1409988469,Descent2e,4,GAME_OVER,271,0,4,437,0
-1814043066,Descent2e,4,GAME_OVER,203,1,4,438,1
1520883858,Descent2e,4,GAME_OVER,223,0,4,439,0
1695382437,Descent2e,4,GAME_OVER,228,0,4,440,0
-1035790372,Descent2e,4,GAME_OVER,247,0,4,441,0
-246581159,Descent2e,4,GAME_OVER,264,0,4,442,0
1683416298,Descent2e,4,GAME_OVER,248,0,4,443,0
1394542115,Descent2e,4,GAME_OVER,251,0,4,444,0
1551605025,Descent2e,4,GAME_OVER,249,0,4,445,0
-1393118654,Descent2e,4,GAME_OVER,256,0,4,446,0
