GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,Player-3,Player-2,PlayerName-1,PlayerName-2,PlayerName-3
1513447411,Descent2e,4,GAME_OVER,249,0,4,166,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-647629730,Descent2e,3,GAME_OVER,224,2,4,167,OSLA,16.42857142857143,-16.42857142857143,16.42857142857143,16.42857142857143,OSLA,OSLA,OSLA
1546136617,Descent2e,3,GAME_OVER,184,2,4,168,OSLA,16.42857142857143,-16.42857142857143,16.42857142857143,16.42857142857143,OSLA,OSLA,OSLA
866825363,Descent2e,4,GAME_OVER,237,0,4,169,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
1112549295,Descent2e,4,GAME_OVER,255,0,4,170,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
866870163,Descent2e,4,GAME_OVER,229,0,4,171,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-188484132,Descent2e,4,GAME_OVER,241,0,4,172,OSLA,-10.0,10.0,-10.0,-10.0,OSLA,OSLA,OSLA
-1317565725,Descent2e,5,GAME_OVER,274,0,4,173,OSLA,-13.333333333333334,13.333333333333334,-13.333333333333334,-13.333333333333334,OSLA,OSLA,OSLA
-1870858449,Descent2e,4,GAME_OVER,278,0,4,174,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
151649086,Descent2e,5,GAME_OVER,267,0,4,175,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-1672927408,Descent2e,4,GAME_OVER,207,0,4,176,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
620316932,Descent2e,5,GAME_OVER,309,0,4,177,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1748550662,Descent2e,4,GAME_OVER,234,0,4,178,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-89964064,Descent2e,3,GAME_OVER,186,1,4,179,OSLA,17.857142857142858,-17.857142857142858,17.857142857142858,17.857142857142858,OSLA,OSLA,OSLA
176192887,Descent2e,4,GAME_OVER,244,0,4,180,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
392473391,Descent2e,3,GAME_OVER,182,1,4,181,OSLA,17.857142857142858,-17.857142857142858,17.857142857142858,17.857142857142858,OSLA,OSLA,OSLA
-757897836,Descent2e,4,GAME_OVER,220,0,4,182,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-778946589,Descent2e,3,GAME_OVER,197,2,4,183,OSLA,17.857142857142858,-17.857142857142858,17.857142857142858,17.857142857142858,OSLA,OSLA,OSLA
1252024377,Descent2e,3,GAME_OVER,191,0,4,184,OSLA,17.857142857142858,-17.857142857142858,17.857142857142858,17.857142857142858,OSLA,OSLA,OSLA
-2051246598,Descent2e,4,GAME_OVER,240,0,4,185,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
2118557955,Descent2e,4,GAME_OVER,241,0,4,186,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-985741623,Descent2e,4,GAME_OVER,249,0,4,187,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
1051456408,Descent2e,4,GAME_OVER,243,0,4,188,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
1055005349,Descent2e,5,GAME_OVER,223,0,4,189,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-286242674,Descent2e,4,GAME_OVER,199,0,4,190,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
1713139624,Descent2e,5,GAME_OVER,291,0,4,191,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
1313838869,Descent2e,4,GAME_OVER,216,0,4,192,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1709454157,Descent2e,4,GAME_OVER,257,0,4,193,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-55309369,Descent2e,4,GAME_OVER,223,0,4,194,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-553587499,Descent2e,4,GAME_OVER,240,0,4,195,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
939226962,Descent2e,3,GAME_OVER,184,2,4,196,OSLA,16.42857142857143,-16.42857142857143,16.42857142857143,16.42857142857143,OSLA,OSLA,OSLA
-647111492,Descent2e,4,GAME_OVER,262,0,4,197,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1113582644,Descent2e,4,GAME_OVER,249,0,4,198,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-388580641,Descent2e,4,GAME_OVER,253,0,4,199,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
333649400,Descent2e,3,GAME_OVER,176,1,4,200,OSLA,16.42857142857143,-16.42857142857143,16.42857142857143,16.42857142857143,OSLA,OSLA,OSLA
44985473,Descent2e,4,GAME_OVER,226,0,4,201,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
25864137,Descent2e,4,GAME_OVER,241,0,4,202,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
809155775,Descent2e,4,GAME_OVER,227,0,4,203,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1315771430,Descent2e,4,GAME_OVER,202,0,4,204,OSLA,-13.333333333333334,13.333333333333334,-13.333333333333334,-13.333333333333334,OSLA,OSLA,OSLA
-652750784,Descent2e,4,GAME_OVER,193,2,4,205,OSLA,16.42857142857143,-16.42857142857143,16.42857142857143,16.42857142857143,OSLA,OSLA,OSLA
-1438181952,Descent2e,4,GAME_OVER,252,0,4,206,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-103583923,Descent2e,4,GAME_OVER,244,0,4,207,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-264533670,Descent2e,5,GAME_OVER,280,0,4,208,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-2003881654,Descent2e,5,GAME_OVER,324,0,4,209,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
1194976140,Descent2e,4,GAME_OVER,220,0,4,210,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
740515828,Descent2e,4,GAME_OVER,287,0,4,211,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1981556469,Descent2e,4,GAME_OVER,269,0,4,212,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-115718702,Descent2e,4,GAME_OVER,219,0,4,213,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1324315614,Descent2e,4,GAME_OVER,234,0,4,214,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
595581609,Descent2e,4,GAME_OVER,246,0,4,215,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-391485289,Descent2e,4,GAME_OVER,227,0,4,216,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
760754694,Descent2e,4,GAME_OVER,229,0,4,217,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-1277080294,Descent2e,4,GAME_OVER,268,0,4,218,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1578106088,Descent2e,4,GAME_OVER,228,0,4,219,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
223861731,Descent2e,4,GAME_OVER,239,0,4,220,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
1602152035,Descent2e,4,GAME_OVER,274,0,4,221,OSLA,-16.666666666666668,16.666666666666668,-16.666666666666668,-16.666666666666668,OSLA,OSLA,OSLA
-683947923,Descent2e,3,GAME_OVER,206,1,4,222,OSLA,17.857142857142858,-17.857142857142858,17.857142857142858,17.857142857142858,OSLA,OSLA,OSLA
138923296,Descent2e,4,GAME_OVER,259,0,4,223,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1107104144,Descent2e,4,GAME_OVER,191,0,4,224,OSLA,16.42857142857143,-16.42857142857143,16.42857142857143,16.42857142857143,OSLA,OSLA,OSLA
916426565,Descent2e,4,GAME_OVER,228,0,4,225,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1124368768,Descent2e,4,GAME_OVER,229,0,4,226,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-1021998975,Descent2e,4,GAME_OVER,205,0,4,227,OSLA,16.42857142857143,-16.42857142857143,16.42857142857143,16.42857142857143,OSLA,OSLA,OSLA
883468036,Descent2e,4,GAME_OVER,216,0,4,228,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-1358304835,Descent2e,5,GAME_OVER,293,0,4,229,OSLA,-16.666666666666668,16.666666666666668,-16.666666666666668,-16.666666666666668,OSLA,OSLA,OSLA
1564042337,Descent2e,4,GAME_OVER,260,0,4,230,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
1546646484,Descent2e,5,GAME_OVER,230,0,4,231,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
1319215497,Descent2e,4,GAME_OVER,195,0,4,232,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-2049994330,Descent2e,4,GAME_OVER,274,0,4,233,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
399120975,Descent2e,5,GAME_OVER,301,0,4,234,OSLA,-16.666666666666668,16.666666666666668,-16.666666666666668,-16.666666666666668,OSLA,OSLA,OSLA
203295418,Descent2e,4,GAME_OVER,247,0,4,235,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-385379532,Descent2e,4,GAME_OVER,250,0,4,236,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-840590086,Descent2e,4,GAME_OVER,213,0,4,237,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
1854572159,Descent2e,4,GAME_OVER,246,0,4,238,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-2072968360,Descent2e,5,GAME_OVER,286,0,4,239,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
564948201,Descent2e,4,GAME_OVER,234,0,4,240,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
242489441,Descent2e,4,GAME_OVER,208,0,4,241,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-2020288483,Descent2e,4,GAME_OVER,208,0,4,242,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
1086074626,Descent2e,4,GAME_OVER,227,0,4,243,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-1032405027,Descent2e,4,GAME_OVER,231,0,4,244,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-87541493,Descent2e,4,GAME_OVER,258,0,4,245,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-543934832,Descent2e,4,GAME_OVER,232,0,4,246,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
777892406,Descent2e,4,GAME_OVER,215,0,4,247,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
