GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1337774010,GoFish,0,GAME_OVER,104,38,2,110,mcts-1000,5.0,8.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
-721901013,GoFish,0,GAME_OVER,102,39,2,111,mcts-1000,5.0,8.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
1992352636,GoFish,0,GAME_OVER,103,40,2,112,mcts-1000,4.0,9.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
-2117472527,GoFish,0,GAME_OVER,102,39,2,113,mcts-1000,8.0,5.0,mcts-500,1,mcts-1000,1,2,2,mcts-500,mcts-500,mcts-1000,1
-1821004186,GoFish,0,GAME_OVER,102,40,2,114,mcts-1000,8.0,5.0,mcts-500,1,mcts-1000,1,2,2,mcts-500,mcts-500,mcts-1000,1
1026227815,GoFish,0,GAME_OVER,103,37,2,115,mcts-1000,5.0,8.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
-651141359,GoFish,0,GAME_OVER,101,36,2,116,mcts-1000,7.0,6.0,mcts-500,1,mcts-1000,1,2,2,mcts-500,mcts-500,mcts-1000,1
-906896864,GoFish,0,GAME_OVER,106,39,2,117,mcts-1000,9.0,4.0,mcts-500,1,mcts-1000,1,2,2,mcts-500,mcts-500,mcts-1000,1
1342710703,GoFish,0,GAME_OVER,102,38,2,118,mcts-1000,6.0,7.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
2046903153,GoFish,0,GAME_OVER,103,38,2,119,mcts-1000,5.0,8.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
-1086811407,GoFish,0,GAME_OVER,97,38,2,120,mcts-1000,4.0,9.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
744610857,GoFish,0,GAME_OVER,98,34,2,121,mcts-1000,6.0,7.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
1160790037,GoFish,0,GAME_OVER,102,38,2,122,mcts-1000,6.0,7.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
-1498142046,GoFish,0,GAME_OVER,99,42,2,123,mcts-1000,7.0,6.0,random,1,mcts-1000,1,2,2,random,random,mcts-1000,1
-418802376,GoFish,0,GAME_OVER,101,36,2,124,mcts-1000,6.0,7.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
-2052236361,GoFish,0,GAME_OVER,105,40,2,125,mcts-1000,8.0,5.0,random,1,mcts-1000,1,2,2,random,random,mcts-1000,1
890666145,GoFish,0,GAME_OVER,97,36,2,126,mcts-1000,8.0,5.0,random,1,mcts-1000,1,2,2,random,random,mcts-1000,1
1569238478,GoFish,0,GAME_OVER,101,37,2,127,mcts-1000,5.0,8.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
-187469389,GoFish,0,GAME_OVER,101,34,2,128,mcts-1000,6.0,7.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
-42752577,GoFish,0,GAME_OVER,101,33,2,129,mcts-1000,5.0,8.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
-1337774010,GoFish,0,GAME_OVER,104,39,2,130,mcts-1000,7.0,6.0,random,1,mcts-1000,1,2,2,random,random,mcts-1000,1
-721901013,GoFish,0,GAME_OVER,98,36,2,131,mcts-1000,7.0,6.0,random,1,mcts-1000,1,2,2,random,random,mcts-1000,1
1992352636,GoFish,0,GAME_OVER,98,35,2,132,mcts-1000,6.0,7.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
-2117472527,GoFish,0,GAME_OVER,98,35,2,133,mcts-1000,7.0,6.0,random,1,mcts-1000,1,2,2,random,random,mcts-1000,1
-1821004186,GoFish,0,GAME_OVER,102,36,2,134,mcts-1000,3.0,10.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
1026227815,GoFish,0,GAME_OVER,107,38,2,135,mcts-1000,6.0,7.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
-651141359,GoFish,0,GAME_OVER,103,38,2,136,mcts-1000,5.0,8.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
-906896864,GoFish,0,GAME_OVER,101,34,2,137,mcts-1000,8.0,5.0,random,1,mcts-1000,1,2,2,random,random,mcts-1000,1
1342710703,GoFish,0,GAME_OVER,102,38,2,138,mcts-1000,5.0,8.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
2046903153,GoFish,0,GAME_OVER,102,40,2,139,mcts-1000,7.0,6.0,random,1,mcts-1000,1,2,2,random,random,mcts-1000,1
-1086811407,GoFish,0,GAME_OVER,96,33,2,140,mcts-1000,5.0,8.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
744610857,GoFish,0,GAME_OVER,99,38,2,141,mcts-1000,5.0,8.0,random,2,mcts-1000,2,1,1,random,random,mcts-1000,0
1160790037,GoFish,0,GAME_OVER,102,38,2,142,mcts-1000,8.0,5.0,mcts-100,1,mcts-1000,1,2,2,mcts-100,mcts-100,mcts-1000,1
-1498142046,GoFish,0,GAME_OVER,105,38,2,143,mcts-1000,5.0,8.0,mcts-100,2,mcts-1000,2,1,1,mcts-100,mcts-100,mcts-1000,0
-418802376,GoFish,0,GAME_OVER,99,38,2,144,mcts-1000,5.0,8.0,mcts-100,2,mcts-1000,2,1,1,mcts-100,mcts-100,mcts-1000,0
-2052236361,GoFish,0,GAME_OVER,98,33,2,145,mcts-1000,7.0,6.0,mcts-100,1,mcts-1000,1,2,2,mcts-100,mcts-100,mcts-1000,1
890666145,GoFish,0,GAME_OVER,103,40,2,146,mcts-1000,5.0,8.0,mcts-100,2,mcts-1000,2,1,1,mcts-100,mcts-100,mcts-1000,0
1569238478,GoFish,0,GAME_OVER,100,38,2,147,mcts-1000,5.0,8.0,mcts-100,2,mcts-1000,2,1,1,mcts-100,mcts-100,mcts-1000,0
-187469389,GoFish,0,GAME_OVER,102,37,2,148,mcts-1000,8.0,5.0,mcts-100,1,mcts-1000,1,2,2,mcts-100,mcts-100,mcts-1000,1
-42752577,GoFish,0,GAME_OVER,93,33,2,149,mcts-1000,8.0,5.0,mcts-100,1,mcts-1000,1,2,2,mcts-100,mcts-100,mcts-1000,1
-1337774010,GoFish,0,GAME_OVER,105,40,2,150,mcts-1000,7.0,6.0,mcts-100,1,mcts-1000,1,2,2,mcts-100,mcts-100,mcts-1000,1
-721901013,GoFish,0,GAME_OVER,106,38,2,151,mcts-1000,5.0,8.0,mcts-100,2,mcts-1000,2,1,1,mcts-100,mcts-100,mcts-1000,0
1992352636,GoFish,0,GAME_OVER,101,40,2,152,mcts-1000,5.0,8.0,mcts-100,2,mcts-1000,2,1,1,mcts-100,mcts-100,mcts-1000,0
-2117472527,GoFish,0,GAME_OVER,95,38,2,153,mcts-1000,4.0,9.0,mcts-100,2,mcts-1000,2,1,1,mcts-100,mcts-100,mcts-1000,0
-1821004186,GoFish,0,GAME_OVER,99,38,2,154,mcts-1000,4.0,9.0,mcts-100,2,mcts-1000,2,1,1,mcts-100,mcts-100,mcts-1000,0
1026227815,GoFish,0,GAME_OVER,95,36,2,155,mcts-1000,5.0,8.0,mcts-100,2,mcts-1000,2,1,1,mcts-100,mcts-100,mcts-1000,0
-651141359,GoFish,0,GAME_OVER,102,39,2,156,mcts-1000,10.0,3.0,mcts-100,1,mcts-1000,1,2,2,mcts-100,mcts-100,mcts-1000,1
-906896864,GoFish,0,GAME_OVER,102,38,2,157,mcts-1000,6.0,7.0,mcts-100,2,mcts-1000,2,1,1,mcts-100,mcts-100,mcts-1000,0
